zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag_emission,hashtag_candidat,Publisher,twitch_id,twitter_pathfile,titre,list_youtube_id
LMQQNLGY,,,2021-12-19,tvBroadcast,Elysée 2022 : Zemmour,"Zemmour, Eric",Elysée 2022,,,,France 2,,,elysée2022zemmour,dbfd2bc8-6eb3-4f66-832a-485d1800222f
Z46U9UGX,,,2022-01-03,radioBroadcast,Face au 7/9 : Mélenchon,"Mélenchon, Jean-Luc",Face au 7/9,,#le79inter|#Elysee2022,#Mélenchon|#Melenchon|#avecmelenchon,France Inter,,,faceau79mélenchon,c45084a0-faa6-4c1d-a949-d8de04ed4a38
G5DGKAHU,2022-01-20 00:00:00,Backseat,2022-01-20,tvBroadcast,Backseat : Hidalgo,"Hidalgo, Anne",Backseat,https://www.twitch.tv/videos/1270073159,,,Twitch,9cdb96e0-3b01-41f4-94cc-4dfd61dc0de4,,backseathidalgo,cfc5f551-c48e-4242-b388-daaba9564707
HHYM8ZX2,,,2022-01-25,radioBroadcast,Face au 7/9 : Jadot,"Jadot, Yannick",Face au 7/9,,#le79inter|#Elysee2022,,France Inter,,,faceau79jadot,51143d49-187a-4a05-a8f6-f9ba507912be
DXD8G4DJ,,,2022-01-27,tvBroadcast,Face à Baba : Mélenchon,"Mélenchon, Jean-Luc",Face à Baba,,#faceababa,,C8,,files/twitter/#zemmourvsmelenchon-#faceababa-2022-01-27.xlsx,faceàbabamélenchon,da1536bc-08d7-444c-bf00-f6f98b41b7d6
QP2EAYEK,,,2022-02-07,radioBroadcast,Face au 7/9 : Zemmour,"Zemmour, Eric",Face au 7/9,,#le79inter|#Elysee2022,#Zemmour|#ZOZZ,France Inter,,files/twitter/le79inter-2022-02-07.xlsx,faceau79zemmour,81a2bd99-4810-42dd-8904-bf2f518724ab
6FJUX7RY,2022-02-10 00:00:00,Backseat,2022-02-10,tvBroadcast,Backseat : Poutou,"Poutou, Philippe",Backseat,https://poutou2022.org/node/156,,,Twitch,99d93ee2-98ea-4ca3-b36f-b5ddcdf3b5ba,,backseatpoutou,91d936af-08f0-4625-b380-b753f4fd5957
8WQIWKUY,,,2022-02-15,radioBroadcast,Face au 7/9 : Roussel,"Roussel, Fabien",Face au 7/9,,#le79inter|#Elysee2022,#Roussel|#roussellement,France Inter,,,faceau79roussel,711dcbe4-4405-4dfb-8726-e606fb4e6294|a7fc4872-f2ea-48af-8868-03f651189c25
H9B334CS,,,2022-02-17,tvBroadcast,Elysée 2022 : Jadot,"Jadot, Yannick",Elysée 2022,,#Elysée2022||#Elysee2022|#Jadot2022|#Changeons,#Jadot,France 2,,,elysée2022jadot,4bb09579-956e-416a-a156-4e602de92ee3|fc47c871-26c2-41e3-a010-12f967132984
BUGZ5HAE,,,2022-02-27,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Le Pen,"Le Pen, Marine",L'interview face cachée,https://www.youtube.com/watch?v=CMpqrm78vl4,,,Youtube [HugoDécrypte],,,linterviewfacecachéeprésidentielle2022lepen,3f05989e-0623-41d2-b125-1fcd4982fbf2
SNZCN2ZC,,,2022-03-03,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Jadot,"Jadot, Yannick",L'interview face cachée,https://www.youtube.com/watch?v=sp0nSHxeNIk,,,Youtube [HugoDécrypte],,,linterviewfacecachéeprésidentielle2022jadot,a0252c12-662e-4ae6-a183-b0ae3bf67763
C2GE5X43,,,2022-03-06,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Dupont-Aignan,"Dupont-Aignan, Nicolas",L'interview face cachée,https://youtu.be/GSUmEZPmNPgNicolas Dupont-Aignan : L'interview face cachée (Présidentielle 2022) - YouTube,,,Youtube [HugoDécrypte],,,linterviewfacecachéeprésidentielle2022dupontaignan,81f7250b-090a-48b9-8f80-b6ef1b4b34a5
JD8ZMIVA,,,2022-03-07,tvBroadcast,"Face aux Françaises : (multiple) Le Pen, Jadot, Mélenchon, Macron, Zemmour, Pécresse, Hidalgo, Roussel)","Le Pen, Marine; Jadot, Yannick; Mélenchon, Jean-Luc; Macron, Emmanuel; Zemmour, Eric; Pécresse, Valérie; Hidalgo, Anne; Roussel, Fabien",Face aux Françaises,,#faceauxfrançaises,,LCI/ELLE,,,faceauxfrançaisesmultiplelepenjadotmélenchonmacronzemmourpécressehidalgoroussel,eb58103f-0333-46f5-9dbe-0af07d6356eb|9b9f3a45-cbea-4af9-9055-047579b9f3e6|ece4cc5f-8fe5-48d7-8dd3-a8431f3868a1|befe0de7-4330-41be-91b6-13e8fb8890ec|3084b25e-2de8-4dba-850e-207698973d6d|c836f107-1ec6-4890-93e7-9ce5ec87aa71|f170d4bd-bc3f-42e0-9e7e-2eeaf38b1b40
GAZCY7VE,2022-03-10 00:00:00,Backseat,2022-03-10,tvBroadcast,Backseat : Jadot,"Jadot, Yannick",Backseat,https://www.twitch.tv/videos/1421378900,#Backseat|#Changeons,#Jadot2022,Twitch,abcabaaa-a6cb-4441-9ee7-a32dda28fca4,,backseatjadot,5cd94acf-1cfc-4b2b-9fcc-c0fdae27de5e
PDT9FN9Y,,,2022-03-10,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Hidalgo,"Hidalgo, Anne",L'interview face cachée,https://www.youtube.com/watch?v=89gh4O4Jh9c,,,Youtube [HugoDécrypte],,,linterviewfacecachéeprésidentielle2022hidalgo,a1f84e5e-9c02-4904-b53c-1908e970338b
AXGM2C5T,,,2022-03-13,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Mélenchon,"Mélenchon, Jean-Luc",L'interview face cachée,https://www.youtube.com/watch?v=RkH3QjL7O80,,,Youtube [HugoDécrypte],,,linterviewfacecachéeprésidentielle2022mélenchon,49c777e6-2446-4800-9f2c-a39c77343e3b
